곡산,백마,1.6
백마,풍산,1.7
일산,풍산,1.9
일산,탄현,1.7
야당,탄현,2.1
야당,운정,1.5
금릉,운정,3.1
금릉,금촌,2.1
금촌,월롱,4.1
월롱,파주,2.2
문산,파주,4.4
문산,운천,3.7
운천,임진강,2.3
도라산,임진강,3.7
가좌,수색,2.4
금정,산본,2.3
산본,수리산,1.1
대야미,수리산,2.6
대야미,반월,2.0
반월,상록수,3.7
상록수,한대앞,1.5
중앙,한대앞,1.6
고잔,중앙,1.4
고잔,초지,1.5
안산,초지,1.8
능길,안산,2.2
능길,정왕,2.9
오이도,정왕,1.4
기지,한국항공대,2.8
기지,문산,2.1
경의선분기,인천공항선분기,2.2
시흥기지,오이도,2.0
용산,효창공원앞,1.5
공덕,효창공원앞,1.0
공덕,서강대,1.9
서강대,홍대입구,0.9
가좌,홍대입구,1.7
DMC,가좌,1.6
서울,시청,1.1
시청,종각,1.0
종각,종로3가,0.8
종로3가,종로5가,0.9
동대문,종로5가,0.8
동대문,신설동,1.3
신설동,제기동,0.9
제기동,청량리,1.0
구로,구일,1.4
개봉,구일,1.0
개봉,오류동,1.3
오류동,온수,1.9
역곡,온수,1.3
소사,역곡,1.5
부천,소사,1.1
부천,중동,1.7
송내,중동,1.0
부개,송내,1.2
부개,부평,1.5
백운,부평,1.7
동암,백운,1.5
간석,동암,1.2
간석,주안,1.2
제물포,주안,2.0
도원,제물포,1.4
도원,동인천,1.2
동인천,인천,1.9
군산옥산,대야,8.3
군산옥산,군산항,17.5
동익산,목천,3.4
봉명,천안,1.3
봉명,쌍용,1.6
쌍용,아산,1.6
아산,탕정,1.8
배방,탕정,3.1
배방,온양온천,4.9
신창,온양온천,5.1
도고온천,신창,5.8
도고온천,신례원,4.5
신례원,예산,5.0
삽교,예산,7.8
삽교,화양,6.8
홍성,화양,5.3
신성,홍성,4.1
광천,신성,8.6
광천,원죽,4.1
원죽,청소,3.7
주포,청소,4.3
대천,주포,8.2
남포,대천,3.1
남포,웅천,9.0
웅천,판교,11.2
서천,판교,8.6
서천,장항,4.8
군산,장항,7.0
군산,군산화물선분기,7.2
군산화물선분기,대야,2.6
대야,목천신호소,9.4
목천신호소,익산,2.3
개정,군산화물,5.4
군산옥산,옥구,7.9
오송,조치원,4.4
오송,청주,7.0
오근장,청주,10.1
내수,오근장,7.3
내수,증평,7.8
도안,증평,6.2
도안,보천,8.7
보천,음성,8.1
소이,음성,4.5
소이,주덕,7.8
달천,주덕,7.0
달천,충주,3.8
목행,충주,5.4
동량,목행,4.6
동량,삼탄,7.9
공전,삼탄,5.8
공전,봉양,8.6
김천,옥산,20.0
옥산,청리,7.1
상주,청리,8.9
백원,상주,8.4
백원,함창,11.4
점촌,함창,4.2
용궁,점촌,6.9
개포,용궁,6.4
개포,예천,11.7
어등,예천,16.6
어등,영주,13.6
점촌,주평,7.1
문경,주평,15.2
대전조차장,익산,87.9
대존조차장,서대전,5.7
가수원,서대전,6.1
가수원,흑석리,5.5
계룡,흑석리,8.1
안평,장성화물,3.6
연무대,채운,5.8
경전선,호남선,1.0
대불,일로,12.0
동익산,익산,2.8
동익산,삼례,10.8
동산,삼례,4.0
동산,전주,7.9
신리,전주,9.4
신리,죽림온천,5.1
관촌,죽림온천,9.0
관촌,임실,4.0
봉천,임실,6.3
봉천,오수,4.3
서도,오수,5.9
산성,서도,6.4
남원,산성,3.6
남원,주생,5.8
옹정,주생,3.0
금지,옹정,3.1
곡성,금지,5.7
곡성,압록,11.5
구례구,압록,8.8
구례구,봉덕,3.6
괴목,봉덕,5.2
개운,괴목,8.2
개운,동운,3.2
동운,순천,8.0
성산,순천,5.2
성산,율촌,6.2
덕양,율촌,8.6
덕양,여천,5.3
여수엑스포,여천,9.5
덕양,흥국사,6.2
적량,흥국사,5.4
동산,북전주,1.7
낙동강,삼랑진,1.7
낙동강,한림정,8.1
진영,한림정,4.3
진례,진영,3.9
진례,창원중앙,10.2
용강,창원중앙,7.0
용강,창원,3.3
마산,창원,3.6
마산,중리,6.6
중리,함안,8.9
군북,함안,7.0
군북,반성,13.5
반성,진주,13.3
완사,진주,13.1
북천,완사,9.4
북천,횡천,8.1
하동,횡천,5.4
진상,하동,6.8
광양,진상,14.3
광양,평화,3.7
순천,평화,4.3
순천,원창,11.8
구룡,원창,4.7
구룡,벌교,6.9
벌교,조성,10.7
예당,조성,5.3
득량,예당,4.3
득량,보성,9.1
성산,평화,3.0
광주선분기,극락강,4.5
보성,삼랑진,209.3
광곡,보성,4.9
광곡,명봉,3.9
명봉,이양,12.8
능주,이양,12.2
능주,화순,8.9
남평,화순,9.2
남평,효천,5.4
서광주,효천,4.1
동송정,서광주,4.3
광주선분기,동송정,0.6
광주선분기,북송정,0.8
덕산,용강,4.9
광양항,황길,2.7
신창원,창원,4.8
남창원,신창원,4.4
남창원,성주사,3.6
경화,성주사,4.1
경화,진해,2.6
진해,통해,1.7
